1774376172837,Safe,OVERHEAT
1774376172837,Safe,OVERHEAT
1774376172843,Safe,OVERHEAT
1774376172854,Safe,NORMAL
1774376172854,Safe,NORMAL
1774376172854,Safe,OVERHEAT
1774376172854,Safe,OVERHEAT
1774376172854,Safe,NORMAL
1774376172854,Safe,NORMAL
1774376172854,Safe,OVERHEAT
1774376172854,Safe,OVERHEAT
1774376172863,Safe,OVERHEAT
1774376172864,Safe,OVERHEAT
1774376172865,Safe,OVERHEAT
1774376172866,Safe,OVERHEAT
1774376172867,Safe,OVERHEAT
1774376172868,Safe,OVERHEAT
1774376172907,Safe,NORMAL
1774376172907,Safe,NORMAL
1774376172907,Safe,NORMAL
1774376172907,Safe,NORMAL
1774376172907,Safe,NORMAL
1774376172963,Safe,NORMAL
1774376172977,Safe,NORMAL
1774376172977,Safe,NORMAL
1774376172977,Safe,NORMAL
1774376172977,Safe,NORMAL
1774376172977,Safe,NORMAL
1774376172977,Safe,NORMAL
1774376173004,Safe,NORMAL
1774376173004,Safe,NORMAL
1774376173004,Safe,NORMAL
1774376173004,Safe,NORMAL
1774376173004,Safe,NORMAL
1774376173054,Safe,NORMAL
1774376173054,Safe,NORMAL
1774376173054,Safe,NORMAL
1774376173054,Safe,NORMAL
1774376173054,Safe,NORMAL
1774376173054,Safe,NORMAL
1774376173054,Safe,NORMAL
1774376173063,Safe,NORMAL
1774376173117,Safe,NORMAL
1774376173117,Safe,NORMAL
1774376173117,Safe,NORMAL
1774376173117,Safe,NORMAL
1774376173117,Safe,NORMAL
